obs,tiempo,infiel,valmat,edad,anoscas,hijos,relig,educ,ocmujer,ochombre
1282,2.545454,1,4,32,16.5,2,4,12,3,4
1283,0.5326087,1,5,42,23,3,3,14,4,2
1284,0.7272727,1,4,37,16.5,2,1,16,3,5
1285,0.1111111,1,2,32,9,0,2,12,3,4
1286,0.4848484,1,4,37,16.5,2,4,12,3,4
1287,0.5833333,1,3,32,6,3,2,14,3,4
1288,0.3478261,1,5,37,23,2,2,14,3,5
1289,1.5076914,1,2,32,13,0,2,12,3,4
1290,3.2307692,1,4,32,13,2,3,14,3,4
1291,0.2121212,1,4,37,16.5,3,3,14,3,3
1292,4.7999992,1,4,22,2.5,0,2,14,3,5
1293,0.8521735,1,5,42,23,4,2,14,3,4
1294,1.1878777,1,3,32,16.5,2,4,12,3,5
1295,1.9478254,1,4,42,23,4,3,9,3,5
1296,4.8999996,1,5,22,2.5,1,2,12,3,4
1297,0.8888888,1,2,32,9,0,2,14,3,4
1298,0.2692307,1,5,32,13,1,2,14,3,5
1299,0.7424242,1,2,32,16.5,3,2,12,5,2
1300,2,1,5,27,6,1,1,14,5,5
1301,0.8521735,1,4,42,23,4,2,14,3,4
1302,3.2666645,1,3,27,6,1,2,14,5,2
1303,0.6153846,1,3,32,13,1,1,16,4,2
1304,0.1666666,1,2,27,6,2,3,12,3,5
1305,1.3611107,1,4,27,9,2,3,12,4,4
1306,11.1999998,1,5,22,2.5,1,1,14,3,2
1307,7.8399963,1,2,22,2.5,1,3,14,5,6
1308,0.4,1,5,22,2.5,0,1,16,5,4
1309,1.9478254,1,4,37,23,4,3,14,3,5
1310,0.7424242,1,2,32,16.5,4,3,12,3,4
1311,2.041666,1,3,22,6,1,3,12,3,4
1312,16,1,3,32,9,2,3,12,3,4
1313,4.8999996,1,1,27,2.5,0,2,12,4,3
1314,0.5217391,1,5,42,23,2,3,14,3,4
1315,0.0769231,1,4,27,13,1,2,12,3,4
1316,1.3611107,1,4,32,9,2,3,17,3,4
1317,0.5326087,1,5,42,23,4,4,14,5,4
1318,2.041666,1,4,27,6,2,3,12,2,2
1319,1.696969,1,5,32,16.5,2,4,16,5,6
1320,0.3888888,1,5,27,9,2,1,16,2,5
1321,2.041666,1,4,22,6,1,2,12,2,1
1322,0.0769231,1,5,32,13,2,1,12,3,4
1323,0.1521739,1,3,42,23,2,3,12,3,5
1324,2.545454,1,4,27,16.5,4,3,17,4,6
1325,0.7272727,1,3,37,16.5,2,3,12,3,4
1326,3.2666645,1,5,27,6,2,3,14,4,2
1327,1.3999996,1,2,17.5,2.5,1,3,12,3,2
1328,1.3999996,1,4,22,2.5,1,2,14,3,5
1329,2.041666,1,5,27,6,1,3,14,3,3
1330,0.1666666,1,5,27,6,2,2,12,4,4
1331,0.8521735,1,3,37,23,3,4,12,5,2
1332,0.5833333,1,3,27,6,3,2,16,4,4
1333,1.3999996,1,3,22,2.5,1,2,12,3,2
1334,1.5076914,1,5,27,13,3,1,12,3,5
1335,1.3611107,1,4,27,9,1,4,14,3,3
1336,0.5217391,1,1,37,23,5.5,2,12,3,4
1337,0.8521735,1,5,42,23,3,1,16,4,6
1338,7.8399963,1,4,27,2.5,0,1,16,5,6
1339,0.9423077,1,4,32,13,2,2,12,5,4
1340,1.3611107,1,3,27,9,2,2,14,5,5
1341,4.8999996,1,4,22,2.5,0,1,14,3,4
1342,1.3999996,1,4,22,2.5,0,1,12,3,2
1343,0.1666666,1,4,27,6,1,3,17,4,5
1344,0.5217391,1,4,37,23,5.5,2,12,3,4
1345,0.2121212,1,5,32,16.5,2,1,12,2,4
1346,2,1,2,22,6,2,4,17,3,5
1347,26.8799896,1,2,22,2.5,0,1,17,4,4
1348,7.4666672,1,4,27,6,0,3,14,2,2
1349,1.3999996,1,5,22,2.5,0,2,14,3,5
1350,2.782608,1,5,42,23,3,3,12,3,5
1351,0.9423077,1,5,32,13,2,2,14,5,4
1352,1.5076914,1,5,32,13,2,2,14,5,4
1353,2.9217386,1,3,42,23,5.5,3,20,6,4
1354,1.3999996,1,5,22,2.5,1,1,12,3,5
1355,17.9199982,1,2,22,2.5,0,1,16,3,5
1356,0.1521739,1,3,42,23,2,3,16,4,5
1357,4.666666,1,3,27,6,0,2,12,3,4
1358,0.9423077,1,3,27,13,0,3,12,3,5
1359,4.7999992,1,4,22,2.5,0,2,12,2,4
1360,1.5076914,1,3,32,13,2,3,14,3,3
1361,0.7272727,1,5,37,16.5,3,2,12,3,5
1362,2.1777763,1,3,27,9,1,3,14,3,3
1363,0.8521735,1,5,42,23,2,2,12,5,4
1364,4.8999996,1,5,27,2.5,0,1,17,4,5
1365,24.5,1,3,32,0.5,0,2,16,4,5
1366,0.0769231,1,4,32,13,2,3,12,3,1
1367,0.1521739,1,3,42,23,5.5,3,12,3,2
1368,0.8521735,1,1,42,23,2,3,14,3,5
1369,0.7272727,1,3,37,16.5,2,1,17,4,2
1370,1.3611107,1,4,27,9,1,1,14,3,4
1371,1.3999996,1,4,22,2.5,0,3,12,3,2
1372,1.217391,1,4,37,23,5.5,2,14,3,6
1373,0.3888888,1,5,32,9,3,2,14,2,6
1374,2.1777763,1,4,37,9,3,3,16,4,2
1375,1.696969,1,5,37,16.5,3,3,16,3,4
1376,0.2692307,1,4,32,13,2,2,12,5,5
1377,0.5217391,1,3,37,23,3,4,12,3,5
1378,1.217391,1,4,42,23,3,4,16,4,2
1379,0.5833333,1,3,27,6,1,2,12,3,4
1380,0.5326087,1,5,42,23,2,3,16,3,5
1381,1.333333,1,5,27,6,1,3,20,5,6
1382,2.7151508,1,3,37,16.5,3,2,12,3,2
1383,0.9230769,1,3,27,13,2,3,12,3,5
1384,0.0434783,1,5,37,23,3,1,12,3,4
1385,0.0434783,1,3,42,23,5.5,3,12,3,4
1386,1.3611107,1,2,27,9,0,2,17,2,3
1387,0.4,1,2,22,2.5,0,3,12,2,3
1388,0.0769231,1,4,27,13,2,2,12,3,2
1389,4.9777775,1,4,32,9,1,1,16,4,5
1390,2.1777763,1,3,32,9,3,3,14,3,6
1391,0.2692307,1,4,32,13,1,3,14,5,5
1392,1.3999996,1,5,22,2.5,0,3,16,4,1
1393,4.666666,1,3,27,6,1,2,17,4,4
1394,7.8399963,1,4,27,2.5,0,2,16,4,2
1395,1.333333,1,3,27,6,0,1,16,4,4
1396,0.2121212,1,3,42,16.5,4,3,16,2,4
1397,1.3999996,1,1,27,2.5,1,3,16,4,4
1398,3.1111107,1,5,27,9,1,2,14,4,4
1399,1.826086,1,4,42,23,2,3,12,3,5
1400,0.9230769,1,4,27,13,2,2,12,3,4
1401,0.9423077,1,5,32,13,1,1,14,4,4
1402,7.8399963,1,4,22,2.5,1,2,14,3,4
1403,4.666666,1,2,27,9,2,2,14,5,5
1404,4.8999996,1,5,22,2.5,0,4,14,3,4
1405,0.2121212,1,3,37,16.5,3,3,14,3,3
1406,7,1,3,27,6,1,3,14,3,4
1407,3.4461536,1,4,32,13,2,1,12,2,4
1408,0.5217391,1,3,42,23,2,2,16,4,5
1409,0.2121212,1,4,37,16.5,3,3,12,3,5
1410,1.5076914,1,4,32,13,2,1,12,2,4
1411,2.9217386,1,3,42,23,5.5,2,12,3,4
1412,1.3611107,1,3,27,9,1,1,14,3,4
1413,0.7424242,1,5,32,16.5,2,3,12,3,2
1414,0.2121212,1,5,32,16.5,1,2,14,5,5
1415,4.666666,1,5,27,6,2,2,20,6,6
1416,0.1666666,1,4,27,6,2,3,12,3,2
1417,0.5833333,1,3,22,6,1,3,14,5,4
1418,0.2121212,1,5,27,16.5,3,3,14,5,5
1419,4.8999996,1,5,22,2.5,0,2,14,5,6
1420,0.5217391,1,3,42,23,5.5,3,14,3,5
1421,0.5217391,1,4,37,23,3,2,12,3,3
1422,1.1878777,1,1,42,16.5,3,4,17,4,4
1423,4.7999992,1,3,27,2.5,0,2,16,4,2
1424,0.1666666,1,2,27,6,2,2,12,5,1
1425,0.1111111,1,5,27,9,3,2,16,4,4
1426,0.5833333,1,5,27,6,2,2,12,5,3
1427,0.4848484,1,3,32,16.5,3,1,14,2,2
1428,0.5833333,1,4,27,6,2,2,14,3,4
1429,7,1,4,27,0.5,0,3,17,4,6
1430,3.2666645,1,4,22,6,1,2,12,3,3
1431,2.9217386,1,5,42,23,2,1,14,6,6
1432,0.1666666,1,4,27,6,2,4,14,5,4
1433,2.041666,1,5,27,6,1,2,16,4,5
1434,0.2692307,1,3,42,13,0,3,17,4,5
1435,1.217391,1,3,42,23,3,3,12,2,2
1436,2.041666,1,5,27,6,1,1,16,4,4
1437,2.041666,1,5,22,6,0,3,14,3,4
1438,0.8521735,1,3,42,23,3,2,14,3,4
1439,0.5833333,1,4,22,6,0,2,16,4,5
1440,3.2307692,1,5,32,13,2,1,14,3,5
1441,11.1999989,1,3,22,6,2,3,14,2,2
1442,1.3999996,1,5,27,2.5,0,2,14,3,2
1443,0.0434783,1,2,42,23,5.5,2,14,3,2
1444,0.8521735,1,4,37,23,3,1,14,3,4
1445,7.8399963,1,5,22,2.5,0,1,14,3,4
1446,0.4,1,5,27,2.5,0,1,17,4,5
1447,0.3888888,1,4,27,9,1,2,16,3,5
1448,1.3611107,1,4,27,9,3,3,14,3,4
1449,0.8521735,1,4,42,23,4,2,16,4,5
1450,0.7424242,1,4,37,16.5,4,3,14,3,2
1451,1.333333,1,4,32,9,0,2,12,3,3
1452,0.9423077,1,4,32,13,0,2,14,3,6
1453,0.5833333,1,2,22,6,2,2,12,3,4
1454,0.5326087,1,3,42,23,3,2,14,5,5
1455,0.9230769,1,4,32,13,0,3,14,3,5
1456,0.7424242,1,4,37,16.5,4,3,14,3,4
1457,0.8521735,1,3,37,23,3,2,12,3,5
1458,2.545454,1,4,32,16.5,2,1,14,3,4
1459,2,1,4,27,6,1,2,16,3,5
1460,3.1999998,1,4,22,2.5,0,2,16,4,5
1461,1.3999996,1,2,22,2.5,0,3,12,3,2
1462,1.333333,1,4,27,6,1,2,14,3,3
1463,2.7151508,1,3,32,16.5,2,2,12,3,2
1464,4.7999992,1,5,17.5,2.5,2,2,12,2,5
1465,7.8399963,1,3,22,2.5,0,3,20,3,1
1466,0.8521735,1,2,37,23,3,3,12,3,2
1467,0.7424242,1,4,32,16.5,5.5,3,14,5,5
1468,0.1521739,1,3,42,23,3,4,14,3,5
1469,4.8999996,1,5,22,2.5,0,2,14,2,3
1470,3.1111107,1,4,27,9,0,2,14,3,4
1471,0.4,1,3,22,2.5,2,2,12,3,4
1472,1.217391,1,3,42,23,2,4,14,4,6
1473,0.5326087,1,5,42,23,5.5,2,14,3,2
1474,2.041666,1,4,27,6,0,3,14,6,6
1475,0.5217391,1,4,42,23,4,3,14,3,4
1476,0.3393939,1,3,32,16.5,2,2,12,3,5
1477,4.8999996,1,3,27,2.5,0,1,16,3,4
1478,5.1692305,1,3,32,13,2,4,14,4,2
1479,1.1878777,1,2,37,16.5,2,2,14,3,5
1480,2,1,4,22,6,2,2,12,2,4
1481,0.1111111,1,4,32,9,3,1,16,2,4
1482,0.3478261,1,3,42,23,4,2,12,3,5
1483,2.1538458,1,3,32,13,2,3,12,3,3
1484,0.4,1,4,22,2.5,0,2,14,2,1
1485,0.7272727,1,3,37,16.5,2,2,12,2,2
1486,2,1,3,27,6,0,2,14,3,5
1487,2.9217386,1,4,42,23,3,3,12,5,4
1488,1.217391,1,4,42,23,3,2,14,5,4
1489,0.1521739,1,2,42,23,5.5,4,14,2,5
1490,0.5833333,1,5,27,6,0,2,12,5,4
1491,0.7424242,1,4,32,16.5,1,2,14,3,4
1492,1.696969,1,4,37,16.5,3,3,12,4,2
1493,0.1521739,1,5,42,23,5.5,3,14,3,6
1494,0.7272727,1,3,37,16.5,3,2,14,5,4
1495,0.9423077,1,2,37,13,1,1,16,4,4
1496,0.5833333,1,4,27,6,0,3,16,5,6
1497,0.8521735,1,4,42,23,4,3,16,4,2
1498,3.1999998,1,5,27,2.5,0,2,14,3,4
1499,2.9217386,1,2,42,23,3,1,12,3,5
1500,0.2692307,1,5,37,13,2,1,14,3,6
1501,1.1878777,1,4,32,16.5,2,1,12,5,2
1502,0.4848484,1,4,37,16.5,3,1,14,3,2
1503,1.3999996,1,3,27,2.5,0,1,14,5,4
1504,4.8999996,1,4,22,2.5,0,1,14,3,3
1505,1.1878777,1,4,37,16.5,2,2,14,3,5
1506,0.1666666,1,3,27,6,2,2,12,3,4
1507,0.1666666,1,4,22,6,1,2,12,3,4
1508,0.2692307,1,5,32,13,2,2,14,4,5
1509,0.5326087,1,2,37,23,3,3,12,5,2
1510,2.545454,1,2,37,16.5,2,3,14,3,5
1511,0.7272727,1,4,32,16.5,2,2,14,5,4
1512,0.7424242,1,5,37,16.5,5.5,4,20,4,6
1513,1.1878777,1,3,32,16.5,3,2,12,3,2
1514,2.1777763,1,3,27,9,4,3,14,3,5
1515,3.2307692,1,3,37,13,0,1,14,5,4
1516,4.8999996,1,2,27,2.5,2,2,14,4,5
1517,0.8888888,1,4,27,9,2,1,14,3,4
1518,0.3478261,1,4,42,23,2,3,14,3,4
1519,0.8521735,1,5,42,23,2,1,14,5,5
1520,0.5217391,1,4,42,23,4,2,12,3,3
1521,0.2121212,1,4,37,16.5,4,3,14,3,5
1522,1.1878777,1,4,32,16.5,3,2,12,2,2
1523,0.0434783,1,2,37,23,2,2,12,4,4
1524,0.5217391,1,4,42,23,1,3,20,4,4
1525,4.8999996,1,4,22,2.5,1,2,14,4,4
1526,2.1538458,1,1,32,13,2,2,14,4,4
1527,1.826086,1,3,42,23,3,2,14,3,5
1528,1.3999996,1,4,22,2.5,0,2,16,3,2
1529,0.1521739,1,5,37,23,3,3,12,3,5
1530,4.8999996,1,3,22,2.5,0,2,14,2,2
1531,1.9478254,1,1,42,23,3,3,12,5,5
1532,4.8999996,1,3,22,2.5,0,2,14,3,4
1533,1.9478254,1,3,37,23,2,3,12,3,5
1534,0.4,1,4,22,2.5,0,2,12,5,4
1535,0.1111111,1,5,32,9,2,3,14,5,4
1536,1.1878777,1,1,37,16.5,4,2,14,3,6
1537,0.8521735,1,3,42,23,1,3,12,3,4
1538,1.3611107,1,5,27,9,2,1,12,3,2
1539,17.9199982,1,4,22,2.5,1,2,14,2,4
1540,0.8521735,1,5,42,23,3,2,14,3,5
1541,2,1,4,27,6,1,3,14,5,5
1542,1.3999996,1,5,22,2.5,0,1,14,3,1
1543,0.7272727,1,3,37,16.5,2,3,16,3,4
1544,2.545454,1,3,32,16.5,2,3,12,5,5
1545,0.7272727,1,5,37,16.5,3,3,14,2,5
1546,0.5833333,1,3,27,6,2,1,16,4,3
1547,0.1111111,1,4,27,9,1,2,20,4,4
1548,2.041666,1,4,27,6,0,2,14,3,4
1549,0.9423077,1,5,32,13,2,2,14,3,4
1550,1.217391,1,4,42,23,2,2,12,4,4
1551,0.4848484,1,2,37,16.5,2,2,12,5,4
1552,0.4,1,4,27,2.5,0,2,17,5,5
1553,0.2121212,1,4,37,16.5,2,2,17,4,5
1554,0.9230769,1,4,32,13,2,2,12,3,3
1555,1.3611107,1,4,32,9,2,1,14,3,4
1556,0.1111111,1,4,32,9,2,2,14,3,5
1557,0.9423077,1,4,32,13,2,3,12,5,5
1558,2.1538458,1,4,32,13,3,2,14,3,2
1559,1.3999996,1,4,22,2.5,1,1,14,2,2
1560,0.2121212,1,5,27,16.5,2,3,12,5,4
1561,4.8999996,1,4,32,2.5,0,3,14,2,6
1562,0.2121212,1,3,32,16.5,1,2,14,2,4
1563,1.1878777,1,3,37,16.5,3,2,16,4,3
1564,0.8521735,1,5,42,23,4,2,12,5,5
1565,3.2666645,1,5,27,6,2,3,14,3,4
1566,1.3999996,1,4,22,2.5,1,3,12,3,2
1567,1.217391,1,4,42,23,3,1,20,6,6
1568,2.1777763,1,4,32,9,2,1,17,4,5
1569,1.3999996,1,5,32,2.5,0,2,20,6,6
1570,0.5833333,1,3,27,6,1,2,14,3,6
1571,4.8999996,1,1,22,2.5,0,1,14,4,4
1572,0.7424242,1,3,32,16.5,2,2,14,3,2
1573,0.1521739,1,4,42,23,2,2,12,3,3
1574,0.5833333,1,4,22,6,1,3,14,3,5
1575,0.5326087,1,5,42,23,3,2,14,3,5
1576,3.4461536,1,3,27,13,2,2,12,4,3
1577,0.2692307,1,4,32,13,2,2,14,5,4
1578,3.1999998,1,3,27,2.5,0,3,14,3,4
1579,0.4,1,2,22,2.5,0,3,12,3,2
1580,1.826086,1,5,42,23,2,2,20,4,4
1581,0.5833333,1,3,27,6,1,2,14,2,2
1582,0.5326087,1,5,42,23,2,2,20,3,6
1583,0.3478261,1,3,37,23,4,1,12,3,2
1584,6.260869,1,5,42,23,4,4,20,6,6
1585,1.333333,1,5,27,6,0,1,17,4,5
1586,0.2692307,1,3,32,13,2,1,17,4,6
1587,1.3999996,1,2,27,2.5,0,1,14,5,5
1588,1.333333,1,4,27,9,3,2,12,3,6
1589,2,1,5,27,6,1,1,14,3,5
1590,24.5,1,4,22,0.5,0,2,14,4,5
1591,1.3999996,1,4,17.5,2.5,1,2,12,3,2
1592,1.3999996,1,3,27,2.5,1,2,14,3,4
1593,0.0606061,1,5,32,16.5,3,2,14,2,4
1594,0.5326087,1,4,42,23,5.5,1,14,3,5
1595,4.8999996,1,5,22,2.5,0,1,14,3,4
1596,0.1521739,1,5,42,23,2,2,20,1,5
1597,0.0434783,1,5,42,23,3,3,14,3,5
1598,0.1521739,1,2,42,23,3,3,16,4,4
1599,0.4848484,1,4,32,16.5,4,2,12,3,5
1600,0.8521735,1,4,37,23,4,2,12,3,4
1601,0.5326087,1,4,42,23,2,1,14,5,3
1602,1.3999996,1,5,22,2.5,0,4,14,3,4
1603,1.3999996,1,4,22,2.5,0,1,16,3,5
1604,1.9478254,1,4,42,23,3,3,14,5,5
1605,1.9478254,1,4,42,23,3,2,14,3,5
1606,0.4,1,2,22,2.5,0,2,14,3,5
1607,0.0434783,1,3,42,23,3,1,20,4,4
1608,2.545454,1,3,37,16.5,3,4,12,3,2
1609,0.2121212,1,4,27,16.5,2,1,12,3,2
1610,3.2666645,1,3,27,6,1,1,16,4,1
1611,0.9230769,1,5,32,13,2,2,14,4,4
1612,0.6153846,1,4,32,13,3,2,12,2,4
1613,1.5076914,1,5,42,13,0,1,16,3,6
1614,2.1777763,1,4,32,9,2,3,14,3,4
1615,0.7424242,1,3,42,16.5,1,3,17,3,3
1616,0.8521735,1,4,42,23,3,1,14,3,5
1617,1.5076914,1,1,32,13,3,3,14,3,4
1618,1.333333,1,4,27,6,2,2,14,3,5
1619,3.2666645,1,4,27,6,2,2,14,5,4
1620,1.3999996,1,5,27,2.5,0,3,16,3,5
1621,1.3999996,1,4,22,2.5,0,1,16,4,2
1622,2.041666,1,4,27,6,3,3,14,4,2
1623,0.1521739,1,4,42,23,2,1,16,4,5
1624,0.5833333,1,3,27,6,1,4,14,5,4
1625,0.9230769,1,3,32,13,0,2,16,3,6
1626,3.2666645,1,1,27,6,2,3,14,3,2
1627,2.1538458,1,3,32,13,2,2,14,3,2
1628,0.7424242,1,3,37,16.5,4,2,14,4,4
1629,0.2121212,1,4,37,16.5,3,4,14,4,4
1630,0.2121212,1,4,32,16.5,4,3,14,3,5
1631,4.7999992,1,5,27,2.5,0,1,14,3,5
1632,0.4,1,3,22,2.5,0,2,14,3,1
1633,0.5217391,1,5,32,23,2,3,14,5,6
1634,1.333333,1,3,27,9,1,3,14,3,2
1635,0.3478261,1,5,37,23,3,2,14,5,4
1636,3.2666645,1,3,27,6,1,3,20,4,4
1637,0.3888888,1,1,27,9,1,3,14,2,4
1638,0.2692307,1,4,32,13,4,2,16,4,2
1639,4.0727262,1,3,32,16.5,3,3,14,5,4
1640,0.1521739,1,4,42,23,3,3,14,4,5
1641,1.696969,1,4,32,16.5,4,2,14,2,5
1642,0.3888888,1,3,27,9,4,4,14,4,4
1643,0.1666666,1,4,27,6,1,2,12,2,4
1644,2,1,2,22,6,1,3,14,3,5
1645,1.3999996,1,4,22,2.5,1,2,14,3,5
1646,3.1999998,1,3,22,2.5,1,3,14,3,4
1647,1.3999996,1,5,22,2.5,0,1,14,3,2
1648,1.826086,1,5,37,23,3,1,12,5,2
1649,4.666666,1,3,27,9,1,1,14,3,6
1650,7.8399963,1,4,27,2.5,0,1,14,5,5
1651,1.3999996,1,5,27,2.5,0,1,16,4,2
1652,0.5833333,1,3,22,6,2,3,12,3,2
1653,0.1521739,1,4,37,23,2,2,12,3,2
1654,4.7999992,1,3,22,2.5,0,2,14,3,4
1655,1.3999996,1,5,27,2.5,0,2,17,4,5
1656,4.8999996,1,4,22,2.5,0,1,14,5,2
1657,7,1,4,27,6,1,2,14,3,3
1658,0.5833333,1,4,27,6,2,2,14,4,4
1659,3.2307692,1,4,32,13,0,2,12,3,3
1660,1.3611107,1,4,27,9,2,2,12,2,4
1661,7.8399963,1,3,22,2.5,0,1,14,3,2
1662,7.8399963,1,5,27,2.5,0,1,14,2,4
1663,1.9478254,1,3,37,23,4,2,14,3,4
1664,1.333333,1,5,27,9,3,2,16,4,4
1665,1.3999996,1,4,22,2.5,0,2,12,2,2
1666,1.1878777,1,2,32,16.5,3,1,14,4,4
1667,1.3611107,1,3,27,9,2,2,12,3,2
1668,0.7272727,1,4,32,16.5,3,1,16,4,5
1669,0.1111111,1,3,27,9,1,2,12,5,4
1670,7.8399963,1,5,22,2.5,0,1,14,2,2
1671,0.5326087,1,4,42,23,2,3,14,5,5
1672,0.1666666,1,5,27,6,1,4,16,4,1
1673,4.8999996,1,4,22,2.5,0,1,12,2,2
1674,7,1,3,22,0.5,0,1,14,5,5
1675,1.9478254,1,5,42,23,5.5,3,14,5,4
1676,0.2121212,1,4,37,16.5,2,2,12,3,4
1677,3.1999998,1,4,22,2.5,0,2,12,3,3
1678,2.041666,1,3,22,6,1,2,12,3,2
1679,2.782608,1,4,42,23,4,3,17,6,3
1680,2.041666,1,4,22,6,0,4,14,5,4
1681,0.1111111,1,2,27,9,3,3,14,4,4
1682,7,1,3,27,6,1,1,14,5,4
1683,0.0434783,1,5,42,23,5.5,3,16,4,6
1684,0.6153846,1,4,37,13,3,1,12,4,4
1685,0.7272727,1,4,37,16.5,2,3,12,5,5
1686,0.2692307,1,4,37,13,3,3,16,3,4
1687,4.666666,1,5,22,6,2,2,12,2,4
1688,16.7999878,1,4,27,2.5,0,2,17,4,6
1689,3.2666645,1,2,22,6,2,3,14,3,5
1690,1.333333,1,3,22,6,1,2,12,4,4
1691,0.1111111,1,5,32,9,2,2,14,4,4
1692,0.3888888,1,3,27,9,3,2,12,3,2
1693,0.2692307,1,3,32,13,2,3,14,3,5
1694,4.9777775,1,2,27,9,1,2,16,4,5
1695,0.5833333,1,4,27,6,1,1,17,3,5
1696,16.7999878,1,4,32,2.5,0,2,20,6,6
1697,0.9423077,1,5,32,13,2,1,12,3,5
1698,1.696969,1,4,32,16.5,1,1,14,5,5
1699,0.4,1,5,27,2.5,0,3,12,4,5
1700,0.3478261,1,3,42,23,4,3,16,4,2
1701,2.041666,1,4,22,6,1,3,14,3,4
1702,0.1666666,1,4,27,6,0,3,14,3,4
1703,7.8399963,1,4,17.5,2.5,0,2,12,3,4
1704,0.4,1,4,22,2.5,0,1,12,3,4
1705,0.0769231,1,1,37,13,3,1,17,5,6
1706,2.7151508,1,2,32,16.5,2,1,12,5,2
1707,0.1521739,1,3,37,23,3,3,12,3,5
1708,1.3611107,1,5,27,9,1,3,12,3,5
1709,3.2666645,1,4,27,6,1,1,12,3,3
1710,1.826086,1,3,37,23,4,2,12,3,2
1711,0.1521739,1,4,37,23,5.5,3,12,5,5
1712,1.3999996,1,1,22,2.5,1,1,12,3,4
1713,4.7999992,1,3,22,2.5,0,1,12,3,5
1714,7.8399963,1,4,27,2.5,0,1,16,4,2
1715,0.6153846,1,4,32,13,1,3,16,3,5
1716,7.8399963,1,4,27,2.5,0,2,12,3,4
1717,1.3611107,1,2,32,9,0,2,16,3,2
1718,0.5217391,1,5,42,23,4,1,20,4,5
1719,2,1,4,22,6,1,1,12,3,5
1720,0.3478261,1,3,42,23,4,2,14,3,5
1721,2.041666,1,5,27,6,0,3,12,3,4
1722,0.2121212,1,4,42,16.5,2,2,12,3,4
1723,3.1999998,1,5,22,2.5,0,2,16,4,1
1724,0.1521739,1,4,42,23,5.5,4,20,4,2
1725,0.3888888,1,5,27,9,2,3,14,4,5
1726,4.7999992,1,4,27,2.5,1,3,16,6,5
1727,1.333333,1,3,27,9,0,3,16,5,5
1728,0.1521739,1,5,37,23,3,2,14,3,5
1729,1.696969,1,4,37,16.5,2,3,17,4,2
1730,2.041666,1,3,27,6,1,1,17,4,5
1731,0.7272727,1,5,32,16.5,3,4,14,3,6
1732,0.7424242,1,5,37,16.5,2,3,12,3,4
1733,7,1,3,27,6,1,4,17,4,5
1734,2.545454,1,3,37,16.5,3,2,14,3,4
1735,0.3888888,1,5,27,9,1,1,14,3,4
1736,1.3611107,1,3,32,9,3,2,14,5,5
1737,0.8521735,1,2,42,23,3,2,12,3,5
1738,1.5076914,1,4,32,13,2,1,14,3,5
1739,4.7999992,1,4,22,2.5,1,2,14,3,2
1740,0.3888888,1,5,27,9,2,2,12,3,6
1741,0.0606061,1,5,32,16.5,2,1,12,3,6
1742,1.696969,1,4,32,16.5,2,2,12,2,4
1743,1.9478254,1,4,42,23,3,2,12,3,5
1744,1.333333,1,4,32,9,2,3,9,3,5
1745,2.041666,1,2,27,6,2,3,12,3,4
1746,0.2434782,1,5,42,23,2,3,16,4,5
1747,0.5326087,1,4,37,23,3,4,12,5,4
1748,3.878787,1,4,32,16.5,3,2,12,5,5
1749,7.1111107,1,3,27,9,1,2,12,3,4
1750,0.9230769,1,2,37,13,2,3,14,3,4
1751,0.2121212,1,4,32,16.5,3,3,14,4,3
1752,1.1878777,1,3,32,16.5,4,3,12,2,2
1753,1.826086,1,3,42,23,4,2,12,4,4
1754,0.0434783,1,3,42,23,3,3,17,4,6
1755,1.333333,1,5,27,9,3,1,14,3,6
1756,0.5833333,1,4,27,6,1,3,14,4,5
1757,1.3999996,1,3,22,2.5,0,2,12,3,5
1758,0.4,1,3,22,2.5,0,2,14,5,4
1759,0.2121212,1,4,32,16.5,3,3,9,5,5
1760,4.8999996,1,4,27,2.5,0,3,16,4,6
1761,0.5833333,1,3,27,6,1,2,12,3,5
1762,0.7424242,1,3,32,16.5,2,3,16,4,4
1763,1.217391,1,5,42,23,3,3,12,4,2
1764,2,1,3,27,6,1,3,16,2,2
1765,1.333333,1,4,27,9,2,3,14,5,5
1766,3.1111107,1,4,27,9,1,4,12,3,2
1767,1.5076914,1,3,37,13,2,3,16,2,4
1768,0.5833333,1,4,22,6,1,2,14,3,5
1769,0.6153846,1,5,37,13,2,3,14,5,5
1770,4.8999996,1,3,22,2.5,0,1,14,3,1
1771,0.2121212,1,4,37,16.5,3,3,12,5,5
1772,3.2307692,1,1,32,13,2,2,17,4,6
1773,3.1999998,1,3,22,2.5,0,3,14,5,4
1774,2,1,3,22,6,1,3,12,4,2
1775,16.7999878,1,4,22,2.5,1,3,14,2,2
1776,0.1521739,1,2,42,23,2,1,14,3,5
1777,1.826086,1,1,42,23,3,1,17,4,5
1778,1.696969,1,3,37,16.5,3,3,16,6,4
1779,7,1,4,27,6,0,2,12,3,4
1780,0.7272727,1,3,37,16.5,4,1,12,3,6
1781,0.1666666,1,4,27,6,2,2,12,3,2
1782,7.4666662,1,3,32,9,0,1,16,4,5
1783,0.4,1,5,22,2.5,0,3,14,4,4
1784,0.2121212,1,2,37,16.5,2,4,12,3,3
1785,1.3999996,1,3,22,2.5,0,3,12,3,2
1786,2.041666,1,4,27,6,2,1,14,2,2
1787,0.7424242,1,3,32,16.5,3,2,12,4,2
1788,17.9199982,1,2,27,2.5,0,2,16,4,5
