"","CODERESP","weight.coefficient","Country","Country.code","DURINT","Date.of.interview","CATI/CAWI","Language","A1","A2_01","A2_02","A2_03","A2_04","A2_05","A3","Q00A","Q00B","Q00C_1","Q01","Q02","Q03_1","Q04_1","Q05","Q06","Q07","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16_1","Q16_2","Q16_3","Q16_4","Q16_5","Q16_6","Q16_7","Q16B_1","Q16B_2","Q17_1","Q17_2","Q17_3","Q17_4","Q17_5","Q17_6","Q17_7","Q18MODE","Q18_01","Q18_02","Q18_03","Q18_04","Q18_05","Q18_06","Q18_07","Q18_08","Q18_09","Q18_10","Q18_11","Q18_12","Q18_13","Q18@_13","Q18B","Q18C","Q18D","Q18E_1","Q18E_2","Q18E_3","Q18E_4","Q18E_5","Q18E_6","Q18E_7","Q19_1","Q19_2","Q19_3","Q19_4","Q19_5","Q20_01","Q20_02","Q20_03","Q20_04","Q21","Q22","Q23","Q24_1","Q24_2","Q24_3","Q24_4","Q24_5","Q25NEW","coderesp"
"1350",2392328,1852.49260278923,"Spain","ES",6.78333333333333,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","2",25,"94717","5","2","04717",NA,"6","2",4,4,"3","-1","1",2,0,1,0,1,1,1,1,1,1,1,4,4,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,1,2,1,1,1,3,1,1,2,1,2,2,2,-1,-1,-1,-1,-1,2,-1,-1,3,-1,-1,-1,1,2392328
"1351",2392330,4949.46805607544,"Spain","ES",5.93333333333333,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","1",53,"29604","7","-1",NA,NA,"3","1",2,2,"2","-1","4",1,0,1,0,2,2,2,2,2,2,2,0,0,-1,-1,-1,-1,-1,-1,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2392330
"1352",2392331,11311.0711512868,"Spain","ES",5.63333333333333,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","2",64,"08570","7","-1",NA,NA,"2","1",2,2,"2","-1","4",1,0,1,0,2,2,2,2,2,2,2,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2392331
"1353",2392332,8282.80545057949,"Spain","ES",7.28333333333333,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","1",64,"47100","1","1",NA,"47100","3","1",2,2,"2","-1","4",1,0,0,0,2,2,2,2,2,2,2,99999997,99999997,1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2392332
"1354",2392333,1257.5852672939,"Spain","ES",9.76666666666667,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","2",50,"30007","2","2",NA,"30007","7","1",2,2,"2","-1","4",1,0,0,0,2,2,2,2,2,2,2,0,0,1,1,1,2,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,4,4,2,2,1,1,1,2,2,2,0,0,0,1,4,1,-1,-1,-1,-1,-1,-1,4,2392333
"1355",2392334,5772.89738186168,"Spain","ES",8.21666666666667,"2021-05-06","CAWI","Spanish","1","0","0","0","1","0","1","1",16,"34005","5","1","09005",NA,"3","-1",4,2,"3","-1","4",1,1,4,0,2,2,2,1,2,2,2,0,0,1,1,1,2,2,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,1,2,3,4,4,4,4,4,1,2,1,2,2,2,-1,-1,-1,-1,-1,2,-1,-1,4,-1,-1,-1,6,2392334
"1356",2392335,1627.96107352569,"Spain","ES",9.9,"2021-05-06","CAWI","Spanish","1","0","0","1","0","0","-1","1",54,"28140","1","1",NA,"28006","7","1",4,3,"3","-1","4",2,0,2,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,4,4,4,1,4,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2392335
"1357",2392338,2353.39855474504,"Spain","ES",8.5,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","1",65,"45005","7","-1",NA,NA,"3","1",2,2,"2","-1","4",1,0,0,0,2,2,2,2,2,2,2,0,0,-1,-1,-1,-1,-1,-1,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,4,4,4,1,1,1,2,1,2,2,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,4,2392338
"1358",2392340,8282.80545057949,"Spain","ES",11.0833333333333,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","1",62,"14920","7","-1",NA,NA,"4","1",2,2,"2","-1","4",1,0,0,0,2,1,2,1,2,2,1,1,1,-1,2,-1,2,-1,-1,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,1,2,4,4,4,1,1,1,2,1,2,2,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,3,2392340
"1359",2392341,1203.89282523897,"Spain","ES",7.05,"2021-05-06","CAWI","Spanish","1","1","1","0","0","0","-1","1",15,"28016","2","2",NA,"28016","7","-1",4,2,"3","-1","4",2,0,1,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,4,4,4,3,2,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2392341
"1360",2392342,490.782954827379,"Spain","ES",8.91666666666667,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","1",69,"28043","7","-1",NA,NA,"6","1",2,2,"2","-1","4",1,0,0,0,2,1,1,2,1,1,1,0,0,-1,2,2,-1,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,2,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,4,2392342
"1361",2392346,1561.85224773273,"Spain","ES",7.75,"2021-05-06","CAWI","Spanish","1","0","0","1","0","0","-1","2",44,"23700","1","1",NA,"23700","8","1",3,3,"3","-1","4",2,1,3,0,2,1,1,2,2,2,1,0,0,1,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2392346
"1362",2392348,2580.28311214054,"Spain","ES",8.08333333333333,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","2",62,"46183","1","1",NA,"46920","8","1",3,3,"5","-1","4",1,0,0,0,2,2,2,1,2,2,2,0,0,1,1,1,2,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,4,4,3,3,1,2,1,2,2,2,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,4,2392348
"1363",2392349,1659.61879246621,"Spain","ES",29.0333333333333,"2021-05-06","CAWI","Spanish","1","0","0","1","0","0","-1","2",54,"33600","1","1",NA,"33600","8","1",3,2,"3","-1","4",1,0,1,0,2,2,2,2,2,2,2,99999997,99999997,1,1,1,2,2,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2392349
"1364",2392350,6865.56360170382,"Spain","ES",10.9,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","1",64,"08700","7","-1",NA,NA,"3","1",2,2,"4","-1","4",1,1,0,0,1,1,1,2,1,1,1,1,1,2,2,2,-1,2,2,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,1,1,1,1,4,4,4,1,1,4,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2392350
"1365",2392351,1257.5852672939,"Spain","ES",27.4666666666667,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","2",50,"31014","1","1",NA,"31014","7","1",2,2,"2","-1","4",2,0,0,0,2,2,2,2,1,2,2,0,0,1,1,1,2,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,4,4,4,1,4,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2392351
"1366",2392353,8268.25579307658,"Spain","ES",6.83333333333333,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","1",56,"28905","1","1",NA,"28830","2","1",4,4,"3","-1","4",2,0,2,0,2,2,2,2,2,2,2,1,2,1,1,2,2,2,1,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,1,2,2,3,2,2,1,3,1,1,2,1,2,2,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,5,2392353
"1367",2392355,1832.04837522931,"Spain","ES",8.65,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","2",58,"24402","1","1",NA,"24400","5","1",3,3,"4","-1","4",1,0,0,0,2,2,2,2,2,2,2,0,0,1,1,1,2,2,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,2,2,3,4,4,4,1,1,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2392355
"1368",2392356,1740.55823891586,"Spain","ES",6.91666666666667,"2021-05-06","CAWI","Spanish","1","0","1","0","0","0","-1","1",56,"11510","1","1",NA,"11510","7","1",3,1,"3","-1","4",1,1,3,0,2,2,2,1,2,2,2,1,1,1,1,1,2,2,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2392356
"1369",2392357,1309.71126567206,"Spain","ES",8.26666666666667,"2021-05-06","CAWI","Spanish","1","0","1","0","0","0","-1","1",47,"47010","1","1",NA,"47010","7","1",3,2,"3","-1","4",1,1,1,0,2,2,2,2,2,2,2,0,0,1,1,1,2,2,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2392357
"1370",2392359,1033.37566960105,"Spain","ES",9.33333333333333,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","2",69,"28039","7","-1",NA,NA,"8","1",2,2,"2","-1","4",2,0,0,0,2,2,2,2,2,2,2,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,1,2,2,4,4,2,2,1,2,1,2,2,2,-1,-1,-1,-1,-1,2,-1,-1,4,-1,-1,-1,5,2392359
"1371",2392360,5772.89738186168,"Spain","ES",8.76666666666667,"2021-05-06","CAWI","Spanish","1","0","0","0","1","0","1","1",17,"28232","5","2","28232",NA,"3","-1",4,4,"3","-1","4",3,1,1,0,2,2,2,2,2,2,2,99999997,99999997,2,2,2,2,2,2,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,2,1,1,1,4,1,1,4,1,1,2,1,2,2,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,5,2392360
"1372",2392361,1442.7374110194,"Spain","ES",8.5,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","1",58,"08225","1","1",NA,"08225","6","1",3,3,"3","-1","4",1,1,1,0,2,2,2,2,2,2,2,0,0,1,1,1,2,2,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,1,1,1,4,1,1,1,1,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2392361
"1373",2392362,8346.31114145946,"Spain","ES",15.4833333333333,"2021-05-06","CAWI","Spanish","1","1","0","0","0","0","-1","1",55,"32630","1","1",NA,"32634","4","1",3,2,"3","-1","4",2,1,2,0,2,2,2,2,2,2,2,0,0,1,1,1,2,2,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,2,2,1,2,2,2,2,3,2,1,1,1,1,1,1,1,0,0,1,1,1,-1,-1,2,2,2,4,2392362
"1374",2392363,1674.81676661457,"Spain","ES",9.8,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","2",55,"41702","1","1",NA,"41927","6","2",2,2,"5","-1","4",1,0,0,0,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,1,2,4,4,4,4,2,2,2,1,2,2,2,-1,-1,-1,-1,-1,2,-1,-1,4,-1,-1,-1,3,2392363
"1375",2392369,4266.17589148685,"Spain","ES",8.2,"2021-05-06","CAWI","Spanish","1","0","0","0","1","0","1","2",16,"28911","5","1","28915",NA,"2","-1",3,1,"4","-1","4",1,0,1,0,2,2,2,2,2,2,2,0,0,1,2,2,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2392369
"1376",2392370,6964.58276029278,"Spain","ES",12.7833333333333,"2021-05-06","CAWI","Spanish","1","0","1","0","1","0","1","1",16,"28760","5","2","28760",NA,"2","-1",4,3,"3","-1","4",2,0,1,1,2,2,2,2,2,2,2,0,0,1,2,2,2,2,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,2,2,2,4,3,4,2,3,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2392370
"1377",2392371,1239.1547596693,"Spain","ES",11.8166666666667,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","1",74,"28009","2","2",NA,"28009","8","1",1,1,"1","2","-1",2,0,0,0,2,2,2,2,2,2,2,-1,-1,1,1,2,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,2,2,2,4,4,4,2,1,2,2,1,2,2,2,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,5,2392371
"1378",2392373,4830.29036706896,"Spain","ES",8.55,"2021-05-06","CAWI","Spanish","1","0","0","0","1","0","1","1",17,"29604","5","1","29601",NA,"3","-1",3,1,"3","-1","4",1,11,1,0,2,2,2,1,2,2,2,1,1,1,1,1,2,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2392373
"1379",2392375,5027.45578426757,"Spain","ES",9.71666666666667,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","1",74,"15401","7","-1",NA,NA,"9","1",2,2,"2","-1","4",1,0,0,0,2,2,2,2,2,2,2,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,1,4,4,4,4,2,3,3,3,1,3,3,3,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,6,2392375
"1380",2392377,7065.59614360901,"Spain","ES",6.45,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","2",68,"08187","7","-1",NA,NA,"2","2",1,1,"1","2","-1",0,0,0,0,1,1,1,1,1,1,1,-1,-1,2,2,2,2,2,2,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,2,2,2,2,4,4,4,4,2,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2392377
"1381",2392383,1674.81676661457,"Spain","ES",11.2,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","2",58,"28027","2","1",NA,"28020","8","2",2,2,"4","-1","4",0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,1,1,1,3,4,4,4,4,2,1,2,1,2,2,2,-1,-1,-1,-1,-1,2,-1,-1,3,-1,-1,-1,2,2392383
"1382",2392384,5978.13212482668,"Spain","ES",9.13333333333333,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","2",66,"48340","7","-1",NA,NA,"2","1",2,2,"2","-1","4",1,0,0,0,2,2,2,2,2,2,2,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,1,1,4,4,4,1,1,1,2,1,2,2,2,-1,-1,-1,-1,-1,2,-1,-1,4,-1,-1,-1,5,2392384
"1383",2392386,4955.23486182026,"Spain","ES",8.15,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","2",68,"28803","7","-1",NA,NA,"9","2",2,2,"6","-1","4",0,0,0,0,1,2,1,1,1,1,1,2,0,2,-1,2,2,2,2,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,1,1,1,1,4,4,4,4,1,4,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,2392386
"1384",2392388,3111.63381422539,"Spain","ES",9.51666666666667,"2021-05-07","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","1",75,"29016","7","-1",NA,NA,"6","1",2,2,"2","-1","4",2,0,0,0,1,2,1,2,2,2,1,0,0,2,-1,2,-1,-1,-1,2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,NA,1,1,1,2,4,4,4,1,1,4,2,1,2,2,2,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,5,2392388
"1385",2392389,576.748817516921,"Spain","ES",16.7666666666667,"2021-05-07","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","1",67,"46970","7","-1",NA,NA,"6","1",4,4,"3","-1","4",1,0,0,0,2,2,2,2,1,2,2,1,1,-1,-1,-1,-1,2,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,2,2,3,4,4,4,2,3,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2392389
"1386",2392390,4454.21574902743,"Spain","ES",6.83333333333333,"2021-05-07","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","2",68,"28904","4","-1",NA,NA,"2","1",2,2,"2","-1","4",1,0,0,0,2,2,2,2,1,2,2,0,0,-1,-1,-1,-1,2,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,2,4,4,4,4,2,4,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2392390
"1387",2392391,4872.37701973906,"Spain","ES",6.76666666666667,"2021-05-07","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","2",69,"28017","7","-1",NA,NA,"3","1",3,3,"5","-1","4",2,0,2,0,1,1,2,2,2,1,2,99999997,99999997,2,2,-1,-1,-1,2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,1,1,2,4,4,2,1,1,2,1,2,2,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,5,2392391
"1388",2392392,5189.20518458773,"Spain","ES",10.9,"2021-05-07","CAWI","Spanish","1","0","0","1","1","0","1","1",16,"08023","5","1","08029",NA,"3","-1",4,3,"3","-1","4",2,0,2,0,2,2,2,2,2,2,2,0,0,1,1,1,1,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2392392
"1389",2392394,6763.78345855025,"Spain","ES",10.95,"2021-05-06","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","2",72,"26006","7","-1",NA,NA,"3","1",2,2,"2","-1","4",1,0,2,0,2,1,1,1,1,1,2,2,2,-1,2,2,2,2,2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,1,2,4,3,4,2,4,1,2,1,2,2,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,2,2392394
"1390",2392395,1677.90570868158,"Spain","ES",10.1166666666667,"2021-05-07","CAWI","Spanish","1","1","1","0","0","0","-1","2",40,"28039","1","1",NA,"28003","8","1",4,2,"3","-1","4",2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,1,3,4,2,4,3,3,1,2,1,2,2,2,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,5,2392395
"1391",2392396,1529.64959292791,"Spain","ES",15.1666666666667,"2021-05-07","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","2",70,"38639","7","-1",NA,NA,"6","1",2,2,"2","-1","4",1,0,0,0,2,2,2,2,2,1,2,0,0,-1,-1,-1,-1,-1,2,-1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,4,4,4,2,2,4,2,1,2,2,2,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,2,2392396
"1392",2392398,1469.00745496779,"Spain","ES",7.38333333333333,"2021-05-07","CAWI","Spanish","1","1","1","0","0","0","-1","1",36,"28231","1","1",NA,"28231","7","1",4,2,"3","-1","4",2,1,3,0,1,2,2,1,2,2,2,0,0,2,1,1,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,2,2,4,4,4,4,4,2,1,1,2,2,2,0,0,1,0,3,3,-1,-1,-1,-1,-1,-1,5,2392398
"1393",2392399,1186.55132967085,"Spain","ES",7.05,"2021-05-07","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","2",33,"28017","1","1",NA,"28028","6","1",4,1,"5","-1","4",1,0,2,1,2,2,2,2,2,2,2,0,1,1,1,1,1,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,2,2,2,4,4,4,2,2,1,2,1,2,2,2,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,2,2392399
"1394",2392400,695.805694401973,"Spain","ES",8.43333333333333,"2021-05-07","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","1",66,"36860","3","-1",NA,NA,"6","1",4,4,"3","-1","4",1,0,0,0,2,2,2,2,1,1,2,1,1,-1,-1,-1,-1,2,2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,1,3,4,4,4,4,1,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2392400
"1395",2392411,2552.13564938557,"Spain","ES",7.61666666666667,"2021-05-07","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","1",65,"47400","7","-1",NA,NA,"3","1",2,2,"2","-1","4",1,0,1,0,2,2,2,2,2,2,2,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,2,2,3,4,1,4,2,4,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2392411
"1396",2392412,2314.04673162448,"Spain","ES",7.28333333333333,"2021-05-07","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","1",68,"38203","7","-1",NA,NA,"3","2",3,3,"4","-1","3",0,0,1,1,2,2,2,2,1,1,2,2,99999997,-1,-1,-1,-1,2,2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,2,2,-1,-1,-1,-1,-1,2,-1,-1,4,-1,-1,-1,1,2392412
"1397",2392413,2120.33620286465,"Spain","ES",6.38333333333333,"2021-05-07","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","2",60,"39608","1","1",NA,"39608","7","1",2,2,"2","-1","1",2,0,0,0,2,2,2,1,1,1,2,1,1,1,1,1,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,4,4,2,4,4,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2392413
"1398",2392414,1757.53289686937,"Spain","ES",9.33333333333333,"2021-05-07","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","2",60,"30160","2","1",NA,"30007","5","1",2,2,"2","-1","4",1,0,0,0,2,2,2,2,2,2,2,0,0,1,1,1,1,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,2,2,2,4,4,4,4,2,2,4,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2392414
"1399",2392417,5880.43195335323,"Spain","ES",4.73333333333333,"2021-05-07","CAWI","Spanish","1","0","1","0","0","0","-1","1",44,"29010","2","1",NA,"29010","2","1",3,2,"3","-1","4",1,0,1,1,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,3,1,1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,3,4,2,2392417
"1400",2392418,2791.72985548314,"Spain","ES",13.0333333333333,"2021-05-07","CAWI","Spanish","2","-1","-1","-1","-1","-1","-1","1",68,"36630","7","-1",NA,NA,"3","1",3,3,"3","-1","4",2,1,1,0,2,2,2,2,2,2,2,1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,NA,1,1,1,1,4,2,1,1,1,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2392418
